	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
2828	017	Bath County, Virginia	51	224	4583	136	2146	51	017
2829	019	Bedford County, Virginia	51	5559	76463	2481	30591	51	019
2830	021	Bland County, Virginia	51	710	6662	284	2614	51	021
2831	023	Botetourt County, Virginia	51	3017	33155	1292	12913	51	023
2832	025	Brunswick County, Virginia	51	1836	16930	754	5916	51	025
2833	027	Buchanan County, Virginia	51	2098	23486	958	9442	51	027
2834	029	Buckingham County, Virginia	51	1753	17068	631	5603	51	029
2835	031	Campbell County, Virginia	51	3942	55012	1766	21791	51	031
2836	033	Caroline County, Virginia	51	2445	29349	937	10970	51	033
2837	035	Carroll County, Virginia	51	1985	29856	1037	12548	51	035
2838	036	Charles City County, Virginia	51	1882	7118	909	2883	51	036
2839	037	Charlotte County, Virginia	51	1401	12313	697	4723	51	037
2840	041	Chesterfield County, Virginia	51	23953	328176	9441	116797	51	041
2841	043	Clarke County, Virginia	51	1200	14299	488	5526	51	043
2842	045	Craig County, Virginia	51	298	5212	159	2214	51	045
2843	047	Culpeper County, Virginia	51	3367	48424	1145	16515	51	047
2844	049	Cumberland County, Virginia	51	618	9859	270	4012	51	049
2845	051	Dickenson County, Virginia	51	1729	15463	812	6205	51	051
2846	053	Dinwiddie County, Virginia	51	1989	28110	818	9939	51	053
2847	057	Essex County, Virginia	51	937	11151	497	4332	51	057
2848	059	Fairfax County, Virginia	51	89248	1128722	33574	392355	51	059
2849	061	Fauquier County, Virginia	51	6035	67463	2334	23595	51	061
2850	063	Floyd County, Virginia	51	989	15523	503	6271	51	063
2851	065	Fluvanna County, Virginia	51	1791	26014	664	9891	51	065
2852	067	Franklin County, Virginia	51	3525	56315	1633	23189	51	067
2853	069	Frederick County, Virginia	51	5776	81340	2299	29455	51	069
2854	071	Giles County, Virginia	51	1864	16907	892	7230	51	071
2855	073	Gloucester County, Virginia	51	2503	37001	1054	14280	51	073
2856	075	Goochland County, Virginia	51	1775	21721	638	8148	51	075
2857	077	Grayson County, Virginia	51	1814	15573	984	6795	51	077
2858	079	Greene County, Virginia	51	1296	18938	539	7111	51	079
2859	081	Greensville County, Virginia	51	1328	11760	347	3486	51	081
2860	083	Halifax County, Virginia	51	2975	35506	1488	14300	51	083
2861	085	Hanover County, Virginia	51	8612	101340	3266	37463	51	085
2862	087	Henrico County, Virginia	51	21604	318864	9335	124589	51	087
2863	089	Henry County, Virginia	51	4211	52580	1995	22415	51	089
2864	091	Highland County, Virginia	51	344	2244	258	1071	51	091
2865	093	Isle of Wight County, Virginia	51	2933	35740	1225	13769	51	093
2866	095	James City County, Virginia	51	4073	70673	1728	28000	51	095
2867	097	King and Queen County, Virginia	51	568	7106	263	2894	51	097
2868	099	King George County, Virginia	51	1948	24933	777	8379	51	099
2869	101	King William County, Virginia	51	1310	16097	558	6036	51	101
2870	103	Lancaster County, Virginia	51	1333	11129	836	5164	51	103
2871	105	Lee County, Virginia	51	2078	25206	1008	9445	51	105
2872	107	Loudoun County, Virginia	51	26235	351129	9144	113432	51	107
2873	109	Louisa County, Virginia	51	2504	33986	1172	12829	51	109
2874	111	Lunenburg County, Virginia	51	1647	12558	669	4516	51	111
2875	113	Madison County, Virginia	51	831	13147	381	5003	51	113
2876	115	Mathews County, Virginia	51	490	8880	295	3806	51	115
2877	117	Mecklenburg County, Virginia	51	3173	31555	1699	12482	51	117
2878	119	Middlesex County, Virginia	51	1004	10717	612	4342	51	119
2879	121	Montgomery County, Virginia	51	6115	96467	2177	35199	51	121
2880	125	Nelson County, Virginia	51	926	14858	514	6339	51	125
2881	127	New Kent County, Virginia	51	1351	19560	514	7299	51	127
2882	131	Northampton County, Virginia	51	1373	12184	813	5248	51	131
2883	133	Northumberland County, Virginia	51	896	12304	565	5861	51	133
2884	135	Nottoway County, Virginia	51	1367	15711	516	5589	51	135
2885	137	Orange County, Virginia	51	2110	34596	904	12810	51	137
2886	139	Page County, Virginia	51	2095	23843	1001	9372	51	139
2887	141	Patrick County, Virginia	51	1430	18264	725	7790	51	141
2888	143	Pittsylvania County, Virginia	51	5899	62794	2705	26204	51	143
2889	145	Powhatan County, Virginia	51	2384	28207	710	9730	51	145
2890	147	Prince Edward County, Virginia	51	1857	23022	553	7409	51	147
2891	149	Prince George County, Virginia	51	2662	37380	894	11102	51	149
2892	153	Prince William County, Virginia	51	31067	437271	10744	136794	51	153
2893	155	Pulaski County, Virginia	51	2818	34528	1291	14619	51	155
2894	157	Rappahannock County, Virginia	51	703	7431	358	3273	51	157
2895	159	Richmond County, Virginia	51	1003	8989	342	2875	51	159
2896	161	Roanoke County, Virginia	51	6675	93633	2796	38164	51	161
2897	163	Rockbridge County, Virginia	51	1663	22444	786	9319	51	163
2898	165	Rockingham County, Virginia	51	7649	77785	3212	29625	51	165
2899	167	Russell County, Virginia	51	2135	28245	1009	11045	51	167
2900	169	Scott County, Virginia	51	2590	22570	1316	9379	51	169
2901	171	Shenandoah County, Virginia	51	3802	42724	1782	17096	51	171
2902	173	Smyth County, Virginia	51	3101	31734	1474	12795	51	173
2903	175	Southampton County, Virginia	51	2264	18410	847	6682	51	175
2904	177	Spotsylvania County, Virginia	51	10128	127691	3740	42823	51	177
2905	179	Stafford County, Virginia	51	10311	137145	3536	43405	51	179
2906	181	Surry County, Virginia	51	775	6823	415	2668	51	181
